Region,Team,Player name,Nationality,,KBM/Controller,Age,Team,Player name,Nationality,,KBM/Controller,Age,AVG POS,W2,W4,W6,W8,W10,Qualified,Times qualified
Europe,NRG Esports,MrSavageM,Norway,,KB&M,14,NRG Esports,Benjyfishy,United Kingdom of Great Britain and Northern Ireland (the),,KB&M,15,373.2,1,24,3,1835,3,W2(#1),3
Europe,Team Secret,Mongraal,United Kingdom of Great Britain and Northern Ireland (the),,KB&M,14,Team Atlantis,Mitr0,Netherlands (the),,KB&M,17,16,2,-,6,3,53,W2(#2),2
Europe,E11 Gaming,Stompy,Austria,,KB&M,17,E11 Gaming,Tschinken,Austria,,KB&M,18,1.8,3,1,1,2,2,W2(#3),5
Europe,Lootboy eSport,Mexe,United Kingdom of Great Britain and Northern Ireland (the),,KB&M,16,Lootboy eSport,Skram,Denmark,,KB&M,19,15,4,18,19,19,-,W2(#2),1
Europe,Gambit Esports,fwexY,Germany,,KB&M,16,Gambit Esports,letw1k3,Russian Federation (the) [v],,KB&M,14,124.4,33,2,15,348,224,W4(#2),1
Europe,Cooler Esport,Aqua,Austria,,KB&M,16,Cooler Esport,Nyhrox,Norway,,KB&M,16,26,64,3,41,11,11,W4(#3),1
Europe,Valhalla Vikings,Crue,Sweden,,KB&M,16,Valhalla Vikings,Chapix,Sweden,,KB&M,15,16.2,7,4,29,29,12,W4(#4),1
Europe,Gamers Origin,Deadra,France [l],,KB&M,18,Gamers Origin,M11Z,France [l],,KB&M,22,163,87,5,504,56,-,W4(#5),1
Europe,Solary,Airwaks,Switzerland,,KB&M,24,Solary,Nikof,France [l],,KB&M,19,347,5,11,2,31,1686,W6(#2),1
Europe,Solary,Kinstaar,Switzerland,,KB&M,19,Solary,Hunter,France [l],,KB&M,19,11.2,17,21,4,1,13,W6(#4),2
Europe,Free Agent,Lnuef,Netherlands (the),,KB&M,17,Free Agent,Quinten,Netherlands (the),,KB&M,16,245.6,214,331,5,258,420,W6(#5),1
Europe,Virtus pro, 7ssk7,Belarus,,KB&M,20,Virtus pro,Jamside,Russian Federation (the) [v],,KB&M,17,596,244,1537,7,-,-,W6(#7),1
Europe,E11 Gaming ,itemm,United Kingdom of Great Britain and Northern Ireland (the),,KB&M,16,Free Agent,Derox,Germany,,KB&M,14,472.6,14,470,213,4,1662,W8(#4),1
Europe,Free Agent,Oslo,France [l],,KB&M,20,Free Agent,BadSniper,France [l],,KB&M,16,,212/309,116/46,-,5,165,W8(#5),1
Europe,Bastille Legacy,4zr,Switzerland,,KB&M,14,Free Agent,Noward,Belgium,,KB&M,23,,61/-,42,25,6,259,W8(#6),1
Europe,Executors One,Znappy,Sweden,,KB&M,15,Executors One,RedRush,Lithuania,,KB&M,15,,-/399,26,43,7,90,W8(#7),1
Europe,Free Agent,Wolfiez,United Kingdom of Great Britain and Northern Ireland (the),,Controller,15,Free Agent,Rojo,Netherlands (the),,KB&M,,80.4,98,196,27,80,1,W10(#1),1
Europe,LeStream Esport,Skite,France [l],,KB&M,19,LeStream Esport,Vato,Switzerland,,KB&M,19,98,201,265,10,10,4,W10(#4),1
Europe,FaZe Clan,Vorwenn,Spain,,KB&M,20,Team Atlantis,Tuckz,United Kingdom of Great Britain and Northern Ireland (the),,KB&M,20,,501/278,35/53,187/661,79,5,W10(#5),1
Europe,Free Agent,Klusia,Denmark,,KB&M,18,Team Singularity,Th0masHD,Denmark,,KB&M,16,6,23/38,99/369,48/434,1096/133,6,W10(#6),1
NA East,Free Agent,Crimz,United States of America (the),,KB&M,16,Team Overtime,Spadess,United States of America (the),,KB&M,17,194.2,1,9,189,351,421,W2(#1),1
NA East,Misfits Gaming,Clix,United States of America (the),,KB&M,14,Misfits Gaming,Sceptic,United States of America (the),,KB&M,15,207,2,-,12,23,791,W2(#2),1
NA East,Team Envy,LeNain,Canada,,KB&M,18,Luminosity Gaming,Tyler15,United States of America (the),,KB&M,21,56.8,3,38,153,70,20,W2(#3),1
NA East,NRG Esports,Zayt,Canada,,KB&M,19,Ghost Gaming,Saf,United States of America (the),,KB&M,17,7.3,22,1,3,-/30*,3,W4(#1),3
NA East,Tempo Storm,Brush,United States of America (the),,KB&M,21,Tempo Storm,CizLucky,United States of America (the),,KB&M,20,184.4,55,2,5,637,223,W4(#2),1
NA East,FaZe Clan,FunkBomb,United States of America (the),,KB&M,23,FaZe Clan,Nate Hill,United States of America (the),,KB&M,24,437.8,30,3,13,1705,-,W4(#3),1
NA East,100 Thieves,Ceice,United States of America (the),,KB&M,18,100 Thieves,Elevate,United States of America (the),,KB&M,17,7.3,21,4,1,3,150/-,W6(#2),2
NA East,compLexity Gaming,Lanjok,United States of America (the),,KB&M,17,compLexity Gaming,Punisher,France [l],,KB&M,23,70.4,29,300,2,14,7,W6(#4),1
NA East,FaZe Clan,Dubs,United States of America (the),,KB&M,16,FaZe Clan,Megga,United States of America (the),,KB&M,14,175.6,577,182,5,13,101,W6(#5),1
NA East,Free Agent,Tetchra,United States of America (the),,KB&M,16,Free Agent,Eclipsae,United States of America (the),,KB&M,,97,18,121,230,1,115,W8(#1),1
NA East,Free Agent,roatdw,United States of America (the),,KB&M,16,E11 Gaming,BlooTea,United States of America (the),,KB&M,23,,80/72,25,34,2,34,W8(#2),1
NA East,Free Agent,Ronaldo,Canada,,KB&M,18,Free Agent,XXiF,Canada,,KB&M,,7,9,-,8,3,8,W8(#3),1
NA East,Free Agent,Slackes,United States of America (the),,KB&M,,Free Agent,Keys,United States of America (the),,KB&M,18,96,32,58,27,362,1,W10(#1),1
NA East,Team Solomid,Zexrow,United States of America (the),,KB&M,18,Team Solomid,Vinny1x,United States of America (the),,KB&M,17,68.8,296,7,19,20,2,W10(#2),1
NA East,Free Agent,Calculator,United States of America (the),,KB&M,14,compLexity Gaming,MackWood,United States of America (the),,KB&M,17,,583/113,37/388,17-Oct,15/17,4,W10(#4),1
NA West,Free Agent,Arkhram,United States of America (the),,KB&M,15,Free Agent,Falconer,United States of America (the),,KB&M,19,9.4,1,37,4,4,1,W2(#1),2
NA West,Team Kungarna,Leno,United States of America (the),,KB&M,14,Team Kungarna,Barl,Philippines (the),,KB&M,16,26,8,1,61,10,50,W4(#1),1
NA West,Team Kungarna,little,United States of America (the),,KB&M,,Team Kungarna,Jay,United States of America (the),,KB&M,13,,40,77/15,1,3,14,W6(#1),1
NA West,Ghost Gaming,Sean,Canada,,KB&M,18,Ghost Gaming,Aydan,United States of America (the),,Controller,19,36,5,137,9,1,28,W8(#1),1
NA West,Free Agent,4DRStorm,United States of America (the),,KB&M,16,Team Kungarna,EpikWhale,United States of America (the),,KB&M,16,,77/7,-/46,19-Mar,67/19,2,W10(#2),1
Brazil,W7M Gaming,pfzin,Brazil,,KB&M,20,Free Agent,nicks,Brazil,,KB&M,13,4.6,1,6,1,11,4,W2(#1),2
Brazil,Free Agent,wisheydp,Brazil,,KB&M,15,Free Agent,Gustavox8,Brazil,,KB&M,,39.6,121,10,2,48,17,W6(#2),1
Brazil,9z,k1ng,Argentina,,KB&M,13,Free Agent,xOwN,Argentina,,KB&M,16,26.4,114,7,4,6,1,W10(#1),1
Asia,Crazy Raccoon,bell,Japan,,KB&M,15,Crazy Raccoon,Scarlet,Japan,,KB&M,14,94,1,162,23,22,262,W2(#1),1
Asia,Newbee,XXM,China,,KB&M,,Newbee,Xmende,China,,KB&M,,45.6,18,11,1,148,50,W6(#1),1
Asia,Trigger QQ,Flame,Viet Nam [ae],,KB&M,,Trigger QQ,Uniq,Viet Nam [ae],,KB&M,,25.8,7,21,85,15,1,W10(#1),1
Oceania,Free Agent,Twizz,New Zealand,,KB&M,23,Chiefs Esports,CoverH,New Zealand,,KB&M,18,373.6,1,1652,11,40,164,W2(#1),1
Oceania,Free Agent,volx,Australia [b],,KB&M,16,Chiefs Esports,Parpy,New Zealand,,KB&M,18,33.6,148,9,1,5,5,W6(#1),1
Oceania,Breakaway Esports,hype,Australia [b],,KB&M,18,Breakaway Esports,Serpennt,Australia [b],,KB&M,17,18.6,62,6,14,10,1,W10(#1),1
CHINA,Team WE,KBB,China,,KB&M,,Team WE,YuWang,China,,KB&M,,,,,,,,CHINA QL,1
