Event,Region,Rank,Payout,Players
CC Wednesday #4,Asia,4,200,1
CC Wednesday #4,Brazil,1,750,1
CC Wednesday #4,Brazil,2,450,1
CC Wednesday #4,Brazil,3,350,1
CC Wednesday #4,Brazil,4,250,1
CC Wednesday #4,Brazil,10,200,1
CC Wednesday #4,Europe,1,2500,1
CC Wednesday #4,Europe,2,2000,1
CC Wednesday #4,Europe,3,1250,1
CC Wednesday #4,Europe,4,750,1
CC Wednesday #4,Europe,5,500,1
CC Wednesday #4,Europe,20,200,1
CC Wednesday #4,Middle East,1,400,1
CC Wednesday #4,Middle East,4,200,1
CC Wednesday #4,NA East,1,1500,1
CC Wednesday #4,NA East,2,1000,1
CC Wednesday #4,NA East,3,750,1
CC Wednesday #4,NA East,4,500,1
CC Wednesday #4,NA East,5,250,1
CC Wednesday #4,NA East,20,200,1
CC Wednesday #4,NA West,1,750,1
CC Wednesday #4,NA West,2,450,1
CC Wednesday #4,NA West,3,350,1
CC Wednesday #4,NA West,4,250,1
CC Wednesday #4,NA West,10,200,1
CC Wednesday #4,Oceania,1,400,1
CC Wednesday #4,Oceania,4,200,1
CS Final,Asia,1,20000,3
CS Final,Asia,2,9000,3
CS Final,Asia,3,6000,3
CS Final,Asia,4,2200,3
CS Final,Asia,8,800,3
CS Final,Asia,32,400,3
CS Final,Brazil,1,40000,3
CS Final,Brazil,2,18000,3
CS Final,Brazil,3,12000,3
CS Final,Brazil,4,4400,3
CS Final,Brazil,8,1600,3
CS Final,Brazil,32,800,3
CS Final,Europe,1,160000,3
CS Final,Europe,2,72000,3
CS Final,Europe,3,48000,3
CS Final,Europe,4,17600,3
CS Final,Europe,8,6400,3
CS Final,Europe,32,3200,3
CS Final,Middle East,1,20000,3
CS Final,Middle East,2,9000,3
CS Final,Middle East,3,6000,3
CS Final,Middle East,4,2200,3
CS Final,Middle East,8,800,3
CS Final,Middle East,32,400,3
CS Final,NA East,1,100000,3
CS Final,NA East,2,45000,3
CS Final,NA East,3,30000,3
CS Final,NA East,4,11000,3
CS Final,NA East,8,4000,3
CS Final,NA East,32,2000,3
CS Final,NA West,1,40000,3
CS Final,NA West,2,18000,3
CS Final,NA West,3,12000,3
CS Final,NA West,4,4400,3
CS Final,NA West,8,1600,3
CS Final,NA West,32,800,3
CS Final,Oceania,1,20000,3
CS Final,Oceania,2,9000,3
CS Final,Oceania,3,6000,3
CS Final,Oceania,4,2200,3
CS Final,Oceania,8,800,3
CS Final,Oceania,32,400,3
CS Week 1,Asia,1,4000,3
CS Week 1,Asia,2,2800,3
CS Week 1,Asia,4,1000,3
CS Week 1,Asia,14,400,3
CS Week 1,Asia,50,200,3
CS Week 1,Brazil,1,8000,3
CS Week 1,Brazil,2,4000,3
CS Week 1,Brazil,4,1600,3
CS Week 1,Brazil,8,600,3
CS Week 1,Brazil,30,400,3
CS Week 1,Brazil,100,200,3
CS Week 1,Europe,1,32000,3
CS Week 1,Europe,2,19200,3
CS Week 1,Europe,4,7040,3
CS Week 1,Europe,8,2560,3
CS Week 1,Europe,30,640,3
CS Week 1,Europe,150,320,3
CS Week 1,Middle East,1,4000,3
CS Week 1,Middle East,2,2800,3
CS Week 1,Middle East,4,1000,3
CS Week 1,Middle East,14,400,3
CS Week 1,Middle East,50,200,3
CS Week 1,NA East,1,20000,3
CS Week 1,NA East,2,12000,3
CS Week 1,NA East,4,4400,3
CS Week 1,NA East,8,1200,3
CS Week 1,NA East,30,400,3
CS Week 1,NA East,150,200,3
CS Week 1,NA West,1,8000,3
CS Week 1,NA West,2,4000,3
CS Week 1,NA West,4,1600,3
CS Week 1,NA West,8,600,3
CS Week 1,NA West,30,400,3
CS Week 1,NA West,100,200,3
CS Week 1,Oceania,1,4000,3
CS Week 1,Oceania,2,2800,3
CS Week 1,Oceania,4,1000,3
CS Week 1,Oceania,14,400,3
CS Week 1,Oceania,50,200,3
CS Week 2,Asia,1,4000,3
CS Week 2,Asia,2,2800,3
CS Week 2,Asia,4,1000,3
CS Week 2,Asia,14,400,3
CS Week 2,Asia,50,200,3
CS Week 2,Brazil,1,8000,3
CS Week 2,Brazil,2,4000,3
CS Week 2,Brazil,4,1600,3
CS Week 2,Brazil,8,600,3
CS Week 2,Brazil,30,400,3
CS Week 2,Brazil,100,200,3
CS Week 2,Europe,1,32000,3
CS Week 2,Europe,2,19200,3
CS Week 2,Europe,4,7040,3
CS Week 2,Europe,8,2560,3
CS Week 2,Europe,30,640,3
CS Week 2,Europe,150,320,3
CS Week 2,Middle East,1,4000,3
CS Week 2,Middle East,2,2800,3
CS Week 2,Middle East,4,1000,3
CS Week 2,Middle East,14,400,3
CS Week 2,Middle East,50,200,3
CS Week 2,NA East,1,20000,3
CS Week 2,NA East,2,12000,3
CS Week 2,NA East,4,4400,3
CS Week 2,NA East,8,1200,3
CS Week 2,NA East,30,400,3
CS Week 2,NA East,150,200,3
CS Week 2,NA West,1,8000,3
CS Week 2,NA West,2,4000,3
CS Week 2,NA West,4,1600,3
CS Week 2,NA West,8,600,3
CS Week 2,NA West,30,400,3
CS Week 2,NA West,100,200,3
CS Week 2,Oceania,1,4000,3
CS Week 2,Oceania,2,2800,3
CS Week 2,Oceania,4,1000,3
CS Week 2,Oceania,14,400,3
CS Week 2,Oceania,50,200,3
CS Week 3,Asia,1,4000,3
CS Week 3,Asia,2,2800,3
CS Week 3,Asia,4,1000,3
CS Week 3,Asia,14,400,3
CS Week 3,Asia,50,200,3
CS Week 3,Brazil,1,8000,3
CS Week 3,Brazil,2,4000,3
CS Week 3,Brazil,4,1600,3
CS Week 3,Brazil,8,600,3
CS Week 3,Brazil,30,400,3
CS Week 3,Brazil,100,200,3
CS Week 3,Europe,1,32000,3
CS Week 3,Europe,2,19200,3
CS Week 3,Europe,4,7040,3
CS Week 3,Europe,8,2560,3
CS Week 3,Europe,30,640,3
CS Week 3,Europe,150,320,3
CS Week 3,Middle East,1,4000,3
CS Week 3,Middle East,2,2800,3
CS Week 3,Middle East,4,1000,3
CS Week 3,Middle East,14,400,3
CS Week 3,Middle East,50,200,3
CS Week 3,NA East,1,20000,3
CS Week 3,NA East,2,12000,3
CS Week 3,NA East,4,4400,3
CS Week 3,NA East,8,1600,3
CS Week 3,NA East,30,400,3
CS Week 3,NA East,150,200,3
CS Week 3,NA West,1,8000,3
CS Week 3,NA West,2,4000,3
CS Week 3,NA West,4,1600,3
CS Week 3,NA West,8,600,3
CS Week 3,NA West,30,400,3
CS Week 3,NA West,100,200,3
CS Week 3,Oceania,1,4000,3
CS Week 3,Oceania,2,2800,3
CS Week 3,Oceania,4,1000,3
CS Week 3,Oceania,14,400,3
CS Week 3,Oceania,50,200,3
CS Week 4,Asia,1,4000,3
CS Week 4,Asia,2,2800,3
CS Week 4,Asia,4,1000,3
CS Week 4,Asia,14,400,3
CS Week 4,Asia,50,200,3
CS Week 4,Brazil,1,8000,3
CS Week 4,Brazil,2,4000,3
CS Week 4,Brazil,4,1600,3
CS Week 4,Brazil,8,600,3
CS Week 4,Brazil,30,400,3
CS Week 4,Brazil,100,200,3
CS Week 4,Europe,1,32000,3
CS Week 4,Europe,2,19200,3
CS Week 4,Europe,4,7040,3
CS Week 4,Europe,8,2560,3
CS Week 4,Europe,30,640,3
CS Week 4,Europe,150,320,3
CS Week 4,Middle East,1,4000,3
CS Week 4,Middle East,2,2800,3
CS Week 4,Middle East,4,1000,3
CS Week 4,Middle East,14,400,3
CS Week 4,Middle East,50,200,3
CS Week 4,NA East,1,20000,3
CS Week 4,NA East,2,12000,3
CS Week 4,NA East,4,4400,3
CS Week 4,NA East,8,1600,3
CS Week 4,NA East,30,400,3
CS Week 4,NA East,150,200,3
CS Week 4,NA West,1,8000,3
CS Week 4,NA West,2,4000,3
CS Week 4,NA West,4,1600,3
CS Week 4,NA West,8,600,3
CS Week 4,NA West,30,400,3
CS Week 4,NA West,100,200,3
CS Week 4,Oceania,1,4000,3
CS Week 4,Oceania,2,2800,3
CS Week 4,Oceania,4,1000,3
CS Week 4,Oceania,14,400,3
CS Week 4,Oceania,50,200,3
CS Week 5,Asia,1,4000,3
CS Week 5,Asia,2,2800,3
CS Week 5,Asia,4,1000,3
CS Week 5,Asia,14,400,3
CS Week 5,Asia,50,200,3
CS Week 5,Brazil,1,8000,3
CS Week 5,Brazil,2,4000,3
CS Week 5,Brazil,4,1600,3
CS Week 5,Brazil,8,600,3
CS Week 5,Brazil,30,400,3
CS Week 5,Brazil,100,200,3
CS Week 5,Europe,1,32000,3
CS Week 5,Europe,2,19200,3
CS Week 5,Europe,4,7040,3
CS Week 5,Europe,8,2560,3
CS Week 5,Europe,30,640,3
CS Week 5,Europe,150,320,3
CS Week 5,Middle East,1,4000,3
CS Week 5,Middle East,2,2800,3
CS Week 5,Middle East,4,1000,3
CS Week 5,Middle East,14,400,3
CS Week 5,Middle East,50,200,3
CS Week 5,NA East,1,20000,3
CS Week 5,NA East,2,12000,3
CS Week 5,NA East,4,4400,3
CS Week 5,NA East,8,1600,3
CS Week 5,NA East,30,400,3
CS Week 5,NA East,150,200,3
CS Week 5,NA West,1,8000,3
CS Week 5,NA West,2,4000,3
CS Week 5,NA West,4,1600,3
CS Week 5,NA West,8,600,3
CS Week 5,NA West,30,400,3
CS Week 5,NA West,100,200,3
CS Week 5,Oceania,1,4000,3
CS Week 5,Oceania,2,2800,3
CS Week 5,Oceania,4,1000,3
CS Week 5,Oceania,14,400,3
CS Week 5,Oceania,50,200,3
Duo Final,All,1,1500000,2
Duo Final,All,2,1125000,2
Duo Final,All,3,900000,2
Duo Final,All,4,750000,2
Duo Final,All,5,450000,2
Duo Final,All,6,225000,2
Duo Final,All,8,187500,2
Duo Final,All,10,112500,2
Duo Final,All,50,25000,2
Solo Final,All,1,3000000,1
Solo Final,All,2,1800000,1
Solo Final,All,3,1200000,1
Solo Final,All,4,1050000,1
Solo Final,All,5,900000,1
Solo Final,All,6,600000,1
Solo Final,All,7,525000,1
Solo Final,All,8,375000,1
Solo Final,All,9,300000,1
Solo Final,All,10,225000,1
Solo Final,All,16,150000,1
Solo Final,All,20,112500,1
Solo Final,All,100,50000,1
WC Week 1,Asia,1,3000,1
WC Week 1,Asia,2,2500,1
WC Week 1,Asia,3,2250,1
WC Week 1,Asia,4,2000,1
WC Week 1,Asia,5,1750,1
WC Week 1,Asia,6,1500,1
WC Week 1,Asia,7,1250,1
WC Week 1,Asia,8,1000,1
WC Week 1,Asia,9,800,1
WC Week 1,Asia,10,600,1
WC Week 1,Asia,20,500,1
WC Week 1,Asia,30,400,1
WC Week 1,Asia,40,300,1
WC Week 1,Asia,50,200,1
WC Week 1,Asia,75,175,1
WC Week 1,Asia,100,150,1
WC Week 1,Asia,250,125,1
WC Week 1,Asia,500,100,1
WC Week 1,Brazil,1,3000,1
WC Week 1,Brazil,2,2500,1
WC Week 1,Brazil,3,2250,1
WC Week 1,Brazil,4,2000,1
WC Week 1,Brazil,5,1750,1
WC Week 1,Brazil,6,1500,1
WC Week 1,Brazil,7,1250,1
WC Week 1,Brazil,8,1000,1
WC Week 1,Brazil,9,800,1
WC Week 1,Brazil,10,600,1
WC Week 1,Brazil,20,500,1
WC Week 1,Brazil,30,400,1
WC Week 1,Brazil,40,300,1
WC Week 1,Brazil,50,200,1
WC Week 1,Brazil,75,175,1
WC Week 1,Brazil,100,150,1
WC Week 1,Brazil,250,125,1
WC Week 1,Brazil,500,100,1
WC Week 1,Europe,1,5000,1
WC Week 1,Europe,2,4000,1
WC Week 1,Europe,3,3000,1
WC Week 1,Europe,4,2500,1
WC Week 1,Europe,5,2250,1
WC Week 1,Europe,6,2000,1
WC Week 1,Europe,7,1750,1
WC Week 1,Europe,8,1500,1
WC Week 1,Europe,9,1250,1
WC Week 1,Europe,10,1000,1
WC Week 1,Europe,20,800,1
WC Week 1,Europe,30,650,1
WC Week 1,Europe,40,550,1
WC Week 1,Europe,50,450,1
WC Week 1,Europe,75,400,1
WC Week 1,Europe,100,350,1
WC Week 1,Europe,250,300,1
WC Week 1,Europe,500,250,1
WC Week 1,Europe,1000,200,1
WC Week 1,Europe,1500,150,1
WC Week 1,Europe,2000,100,1
WC Week 1,NA East,1,5000,1
WC Week 1,NA East,2,4000,1
WC Week 1,NA East,3,3000,1
WC Week 1,NA East,4,2500,1
WC Week 1,NA East,5,2250,1
WC Week 1,NA East,6,2000,1
WC Week 1,NA East,7,1750,1
WC Week 1,NA East,8,1500,1
WC Week 1,NA East,9,1250,1
WC Week 1,NA East,10,1000,1
WC Week 1,NA East,20,800,1
WC Week 1,NA East,30,650,1
WC Week 1,NA East,40,550,1
WC Week 1,NA East,50,450,1
WC Week 1,NA East,75,400,1
WC Week 1,NA East,100,350,1
WC Week 1,NA East,250,300,1
WC Week 1,NA East,500,250,1
WC Week 1,NA East,1000,150,1
WC Week 1,NA East,1500,100,1
WC Week 1,NA West,1,4000,1
WC Week 1,NA West,2,3500,1
WC Week 1,NA West,3,3000,1
WC Week 1,NA West,4,2500,1
WC Week 1,NA West,5,2000,1
WC Week 1,NA West,6,1700,1
WC Week 1,NA West,7,1500,1
WC Week 1,NA West,8,1250,1
WC Week 1,NA West,9,1000,1
WC Week 1,NA West,10,800,1
WC Week 1,NA West,20,700,1
WC Week 1,NA West,30,500,1
WC Week 1,NA West,40,450,1
WC Week 1,NA West,50,350,1
WC Week 1,NA West,75,250,1
WC Week 1,NA West,100,200,1
WC Week 1,NA West,250,150,1
WC Week 1,NA West,500,100,1
WC Week 1,Oceania,1,2500,1
WC Week 1,Oceania,2,2250,1
WC Week 1,Oceania,3,2000,1
WC Week 1,Oceania,4,1750,1
WC Week 1,Oceania,5,1500,1
WC Week 1,Oceania,6,1250,1
WC Week 1,Oceania,7,1000,1
WC Week 1,Oceania,8,750,1
WC Week 1,Oceania,9,500,1
WC Week 1,Oceania,10,450,1
WC Week 1,Oceania,20,400,1
WC Week 1,Oceania,30,350,1
WC Week 1,Oceania,40,300,1
WC Week 1,Oceania,50,250,1
WC Week 1,Oceania,75,200,1
WC Week 1,Oceania,100,150,1
WC Week 1,Oceania,250,100,1
WC Week 10,Asia,1,6500,2
WC Week 10,Asia,2,5500,2
WC Week 10,Asia,3,4500,2
WC Week 10,Asia,4,4000,2
WC Week 10,Asia,5,3500,2
WC Week 10,Asia,6,3000,2
WC Week 10,Asia,7,2500,2
WC Week 10,Asia,8,2000,2
WC Week 10,Asia,9,1500,2
WC Week 10,Asia,10,1000,2
WC Week 10,Asia,20,800,2
WC Week 10,Asia,30,700,2
WC Week 10,Asia,40,600,2
WC Week 10,Asia,50,500,2
WC Week 10,Asia,75,400,2
WC Week 10,Asia,100,200,2
WC Week 10,Brazil,1,6500,2
WC Week 10,Brazil,2,5500,2
WC Week 10,Brazil,3,4500,2
WC Week 10,Brazil,4,4000,2
WC Week 10,Brazil,5,3500,2
WC Week 10,Brazil,6,3000,2
WC Week 10,Brazil,7,2500,2
WC Week 10,Brazil,8,2000,2
WC Week 10,Brazil,9,1500,2
WC Week 10,Brazil,10,1000,2
WC Week 10,Brazil,20,800,2
WC Week 10,Brazil,30,700,2
WC Week 10,Brazil,40,600,2
WC Week 10,Brazil,50,500,2
WC Week 10,Brazil,75,400,2
WC Week 10,Brazil,100,200,2
WC Week 10,Europe,1,10000,2
WC Week 10,Europe,2,8000,2
WC Week 10,Europe,3,6500,2
WC Week 10,Europe,4,5000,2
WC Week 10,Europe,5,4500,2
WC Week 10,Europe,6,4000,2
WC Week 10,Europe,7,3500,2
WC Week 10,Europe,8,3000,2
WC Week 10,Europe,9,2500,2
WC Week 10,Europe,10,2000,2
WC Week 10,Europe,20,1800,2
WC Week 10,Europe,30,1300,2
WC Week 10,Europe,40,1100,2
WC Week 10,Europe,50,900,2
WC Week 10,Europe,75,800,2
WC Week 10,Europe,100,700,2
WC Week 10,Europe,250,500,2
WC Week 10,Europe,500,350,2
WC Week 10,Europe,1000,200,2
WC Week 10,NA East,1,10000,2
WC Week 10,NA East,2,8000,2
WC Week 10,NA East,3,6500,2
WC Week 10,NA East,4,5000,2
WC Week 10,NA East,5,4500,2
WC Week 10,NA East,6,4000,2
WC Week 10,NA East,7,3500,2
WC Week 10,NA East,8,3000,2
WC Week 10,NA East,9,2500,2
WC Week 10,NA East,10,2000,2
WC Week 10,NA East,20,1800,2
WC Week 10,NA East,30,1300,2
WC Week 10,NA East,40,1100,2
WC Week 10,NA East,50,900,2
WC Week 10,NA East,75,800,2
WC Week 10,NA East,100,700,2
WC Week 10,NA East,250,500,2
WC Week 10,NA East,500,350,2
WC Week 10,NA West,1,6500,2
WC Week 10,NA West,2,5500,2
WC Week 10,NA West,3,4750,2
WC Week 10,NA West,4,4000,2
WC Week 10,NA West,5,3500,2
WC Week 10,NA West,6,3000,2
WC Week 10,NA West,7,2500,2
WC Week 10,NA West,8,2000,2
WC Week 10,NA West,9,1500,2
WC Week 10,NA West,10,1000,2
WC Week 10,NA West,20,700,2
WC Week 10,NA West,30,600,2
WC Week 10,NA West,40,500,2
WC Week 10,NA West,50,400,2
WC Week 10,NA West,75,300,2
WC Week 10,NA West,100,250,2
WC Week 10,NA West,250,200,2
WC Week 10,Oceania,1,5000,2
WC Week 10,Oceania,2,4500,2
WC Week 10,Oceania,3,4000,2
WC Week 10,Oceania,4,3500,2
WC Week 10,Oceania,5,3000,2
WC Week 10,Oceania,6,2500,2
WC Week 10,Oceania,7,1750,2
WC Week 10,Oceania,8,1250,2
WC Week 10,Oceania,9,800,2
WC Week 10,Oceania,10,700,2
WC Week 10,Oceania,20,600,2
WC Week 10,Oceania,30,500,2
WC Week 10,Oceania,40,400,2
WC Week 10,Oceania,50,300,2
WC Week 10,Oceania,75,200,2
WC Week 2,Asia,1,3250,2
WC Week 2,Asia,2,2750,2
WC Week 2,Asia,3,2250,2
WC Week 2,Asia,4,2000,2
WC Week 2,Asia,5,1750,2
WC Week 2,Asia,6,1500,2
WC Week 2,Asia,7,1250,2
WC Week 2,Asia,8,1000,2
WC Week 2,Asia,9,750,2
WC Week 2,Asia,10,500,2
WC Week 2,Asia,20,400,2
WC Week 2,Asia,30,350,2
WC Week 2,Asia,40,300,2
WC Week 2,Asia,50,250,2
WC Week 2,Asia,75,200,2
WC Week 2,Asia,100,100,2
WC Week 2,Brazil,1,3250,2
WC Week 2,Brazil,2,2750,2
WC Week 2,Brazil,3,2250,2
WC Week 2,Brazil,4,2000,2
WC Week 2,Brazil,5,1750,2
WC Week 2,Brazil,6,1500,2
WC Week 2,Brazil,7,1250,2
WC Week 2,Brazil,8,1000,2
WC Week 2,Brazil,9,750,2
WC Week 2,Brazil,10,500,2
WC Week 2,Brazil,20,400,2
WC Week 2,Brazil,30,350,2
WC Week 2,Brazil,40,300,2
WC Week 2,Brazil,50,250,2
WC Week 2,Brazil,75,200,2
WC Week 2,Brazil,100,100,2
WC Week 2,Europe,1,5000,2
WC Week 2,Europe,2,4000,2
WC Week 2,Europe,3,3250,2
WC Week 2,Europe,4,2500,2
WC Week 2,Europe,5,2250,2
WC Week 2,Europe,6,2000,2
WC Week 2,Europe,7,1750,2
WC Week 2,Europe,8,1500,2
WC Week 2,Europe,9,1250,2
WC Week 2,Europe,10,1000,2
WC Week 2,Europe,20,900,2
WC Week 2,Europe,30,650,2
WC Week 2,Europe,40,550,2
WC Week 2,Europe,50,450,2
WC Week 2,Europe,75,400,2
WC Week 2,Europe,100,350,2
WC Week 2,Europe,250,250,2
WC Week 2,Europe,500,175,2
WC Week 2,Europe,1000,100,2
WC Week 2,NA East,1,5000,2
WC Week 2,NA East,2,4000,2
WC Week 2,NA East,3,3250,2
WC Week 2,NA East,4,2500,2
WC Week 2,NA East,5,2250,2
WC Week 2,NA East,6,2000,2
WC Week 2,NA East,7,1750,2
WC Week 2,NA East,8,1500,2
WC Week 2,NA East,9,1250,2
WC Week 2,NA East,10,1000,2
WC Week 2,NA East,20,900,2
WC Week 2,NA East,30,650,2
WC Week 2,NA East,40,550,2
WC Week 2,NA East,50,450,2
WC Week 2,NA East,75,400,2
WC Week 2,NA East,100,350,2
WC Week 2,NA East,250,250,2
WC Week 2,NA East,500,175,2
WC Week 2,NA West,1,3250,2
WC Week 2,NA West,2,2750,2
WC Week 2,NA West,3,2375,2
WC Week 2,NA West,4,2000,2
WC Week 2,NA West,5,1750,2
WC Week 2,NA West,6,1500,2
WC Week 2,NA West,7,1250,2
WC Week 2,NA West,8,1000,2
WC Week 2,NA West,9,750,2
WC Week 2,NA West,10,500,2
WC Week 2,NA West,20,350,2
WC Week 2,NA West,30,300,2
WC Week 2,NA West,40,250,2
WC Week 2,NA West,50,200,2
WC Week 2,NA West,75,150,2
WC Week 2,NA West,100,125,2
WC Week 2,NA West,250,100,2
WC Week 2,Oceania,1,2500,2
WC Week 2,Oceania,2,2250,2
WC Week 2,Oceania,3,2000,2
WC Week 2,Oceania,4,1750,2
WC Week 2,Oceania,5,1500,2
WC Week 2,Oceania,6,1250,2
WC Week 2,Oceania,7,875,2
WC Week 2,Oceania,8,625,2
WC Week 2,Oceania,9,400,2
WC Week 2,Oceania,10,350,2
WC Week 2,Oceania,20,300,2
WC Week 2,Oceania,30,250,2
WC Week 2,Oceania,40,200,2
WC Week 2,Oceania,50,150,2
WC Week 2,Oceania,75,100,2
WC Week 3,Asia,1,3000,1
WC Week 3,Asia,2,2500,1
WC Week 3,Asia,3,2250,1
WC Week 3,Asia,4,2000,1
WC Week 3,Asia,5,1750,1
WC Week 3,Asia,6,1500,1
WC Week 3,Asia,7,1250,1
WC Week 3,Asia,8,1000,1
WC Week 3,Asia,9,800,1
WC Week 3,Asia,10,600,1
WC Week 3,Asia,20,500,1
WC Week 3,Asia,30,400,1
WC Week 3,Asia,40,300,1
WC Week 3,Asia,50,200,1
WC Week 3,Asia,75,175,1
WC Week 3,Asia,100,150,1
WC Week 3,Asia,250,125,1
WC Week 3,Asia,500,100,1
WC Week 3,Brazil,1,3000,1
WC Week 3,Brazil,2,2500,1
WC Week 3,Brazil,3,2250,1
WC Week 3,Brazil,4,2000,1
WC Week 3,Brazil,5,1750,1
WC Week 3,Brazil,6,1500,1
WC Week 3,Brazil,7,1250,1
WC Week 3,Brazil,8,1000,1
WC Week 3,Brazil,9,800,1
WC Week 3,Brazil,10,600,1
WC Week 3,Brazil,20,500,1
WC Week 3,Brazil,30,400,1
WC Week 3,Brazil,40,300,1
WC Week 3,Brazil,50,200,1
WC Week 3,Brazil,75,175,1
WC Week 3,Brazil,100,150,1
WC Week 3,Brazil,250,125,1
WC Week 3,Brazil,500,100,1
WC Week 3,Europe,1,5000,1
WC Week 3,Europe,2,4000,1
WC Week 3,Europe,3,3000,1
WC Week 3,Europe,4,2500,1
WC Week 3,Europe,5,2250,1
WC Week 3,Europe,6,2000,1
WC Week 3,Europe,7,1750,1
WC Week 3,Europe,8,1500,1
WC Week 3,Europe,9,1250,1
WC Week 3,Europe,10,1000,1
WC Week 3,Europe,20,800,1
WC Week 3,Europe,30,650,1
WC Week 3,Europe,40,550,1
WC Week 3,Europe,50,450,1
WC Week 3,Europe,75,400,1
WC Week 3,Europe,100,350,1
WC Week 3,Europe,250,300,1
WC Week 3,Europe,500,250,1
WC Week 3,Europe,1000,200,1
WC Week 3,Europe,1500,150,1
WC Week 3,Europe,2000,100,1
WC Week 3,NA East,1,5000,1
WC Week 3,NA East,2,4000,1
WC Week 3,NA East,3,3000,1
WC Week 3,NA East,4,2500,1
WC Week 3,NA East,5,2250,1
WC Week 3,NA East,6,2000,1
WC Week 3,NA East,7,1750,1
WC Week 3,NA East,8,1500,1
WC Week 3,NA East,9,1250,1
WC Week 3,NA East,10,1000,1
WC Week 3,NA East,20,800,1
WC Week 3,NA East,30,650,1
